Compound	KEGG_ID
9E-Heptadecenoic acid	C16536
Aminopropylcadaverine	C16565
3'-Hydroxyropivacaine	C16573
4'-Hydroxyropivacaine	C16574
Codeine-6-glucuronide	C16577
5-Fluorodihydrouracil	C16630
2-Propylsuccinic acid	C16657
2-Propylglutaric acid	C16658
DL-Formylisoglutamine	C16674
4-Hydroxy-2-quinolone	C16716
l-Phenylpropanolamine	C16719
5-Deoxy-D-glucuronate	C16737
allo-Hydroxy-L-lysine	C16742
alpha-Acetylgitaloxin	C16749
Tuberculostearic acid	C16794
p-Coumaroyl-D-glucose	C16827
2-Methyl-L-tryptophan	C16831
Isohomohalichondrin B	C16881
Caryophyllene epoxide	C16908
Decanoyl acetaldehyde	C16947
Dehydroeburicoic acid	C16950
"6,6'-Dibromoindigotin"	C17084
4-Guanidino-1-butanol	C17146
N-Hydroxyl-tryptamine	C17203
Uracil 5-carbaldehyde	C17206
2-Ammoniobut-2-enoate	C17234
desulfo-Glucosinolate	C17259
S-Sulfanylglutathione	C17267
2-Hydroxymethylclavam	C17357
8-Hydroxyalanylclavam	C17359
Deshydroxythienamycin	C17368
Methylophiopogonone A	C17473
Methylophiopogonone B	C17474
cis-syn Thymine dimer	C17509
beta-Hydroxyacteoside	C17528
Chikusetsusaponin III	C17539
2'-N-Acetylparomamine	C17582
alpha-Muricholic acid	C17647
beta-Lithocholic acid	C17658
3-Epilithocholic acid	C17658
Hydrocinnamyl acetate	C17663
Allochenodeoxycholate	C17664
Aluminum acetoacetate	C17688
2-epi-5-epi-Valiolone	C17691
omega-Muricholic acid	C17727
Feruloyl-diketide-CoA	C17741
4'-Methylcapillarisin	C17784
alpha-Allokainic acid	C17904
2-Pyridinemethanamine	C17926
Phosphonoformaldehyde	C17943
Formylphosphonic acid	C17943
(2S)-Ethylmalonyl-CoA	C18026
UDP-L-arabinofuranose	C18094
Bacteriochlorophyll d	C18162
Bacteriochlorophyll c	C18163
Thyreotrophic hormone	C18182
"ent-Cassa-12,15-diene"	C18226
N-Formylmaleamic acid	C18232
Reduced cytochrome cL	C18234
"1,1,1-Trichloroethane"	C18246
5-Chrysenecarboxylate	C18282
4-Chrysenecarboxylate	C18283
5-Methylmaleylacetate	C18306
2-Methyl-3-oxoadipate	C18307
4-Methyl-3-oxoadipate	C18312
p-Coumaroylputrescine	C18326
Chlorhexidine acetate	C18372
Oxpoconazole fumarate	C18572
Methyl isothiocyanate	C18587
Potassium bicarbonate	C18606
11-Deoxylandomycinone	C18682
Chlorphonium chloride	C18708
Triflusulfuron-methyl	C18901
(R)-4-Phosphopantoate	C18911
tRNA with a 3' CC end	C19080
(2S)-2-Phospholactate	C19156
"1,2-Dimethylhydrazine"	C19176
N-Nitroso-N-ethylurea	C19178
ortho-Aminoazotoluene	C19188
C.I. Solvent Yellow 3	C19188
"Carrageenan, degraded"	C19203
"3,4:8,9-Dibenzopyrene"	C19222
"1,1-Dimethylhydrazine"	C19233
Phenyl glycidyl ether	C19291
4-Vinyl-1-cyclohexene	C19310
2-Amino-4-nitrophenol	C19321
2-Amino-5-nitrophenol	C19322
4-Amino-2-nitrophenol	C19323
Aziridyl benzoquinone	C19333
Chlorodifluoromethane	C19361
Cinnamyl anthranilate	C19374
"Dibenz[a,c]anthracene"	C19388
"Dibenz[a,j]anthracene"	C19389
2-Ethylhexyl acrylate	C19420
6-Nitrobenzo[a]pyrene	C19472
"4-Nitro-1,1'-biphenyl"	C19473
para-Phenylenediamine	C19499
Polyvinyl pyrrolidone	C19509
"Pyrido[3,4-c]psoralen"	C19516
C.I. Solvent Orange 7	C19526
Trichloroacetonitrile	C19535
"1,1,2-Trichloroethane"	C19536
N-Vinyl-2-pyrrolidone	C19548
Toluene diisocyanates	C19560
"2,3-Epoxyaflatoxin B1"	C19586
22-Hydroxydocosanoate	C19623
Gorgost-5-en-3beta-ol	C19655
7-Chloro-L-tryptophan	C19687
Cobyrinate c-monamide	C19724
8'-Apo-beta-carotenal	C19728
"3,5-Dihydroxybiphenyl"	C19750
(S)-beta-Macrocarpene	C19752
"cis-Muurola-3,5-diene"	C19753
cis-3-Hexenyl acetate	C19757
Streptothricin F acid	C19786
[Protein]-L-threonine	C19803
9-cis-Epoxycarotenoid	C19811
"4,4'-Diapophytofluene"	C19840
beta-Apo-4'-carotenal	C19892
10-epi-gamma-Eudesmol	C19893
Debromohymenialdisine	C19897
Allopumiliotoxin 267A	C20034
8a-epi-alpha-Selinene	C20163
Ureidoperacrylic acid	C20231
(2R)-Ethylmalonyl-CoA	C20238
4-Acetylaminobiphenyl	C20285
Dimethylarsinous acid	C20300
delta-Hydroxyarginine	C20330
Alizarin cyanin green	C20337
"N,N-Dimethylacetamide"	C20339
Isopentenyl phosphate	C20345
Lissamine rhodamine B	C20348
Ecgonone methyl ester	C20371
Neopentalenolactone D	C20402
Und-PP-GlcNAc-ManNAcA	C20497
2'-Dehydrokanamycin A	C20509
13-Desoxyterpendole I	C20542
Aldotetraouronic acid	C20573
cis-(Homo)2-aconitate	C20581
cis-(Homo)3-aconitate	C20582
Tetrabromophenol blue	C20588
Methyl gibberellin A9	C20632
Methyl gibberellin A4	C20633
O-Methyl anthranilate	C20634
5-Oxo-delta-bilirubin	C20666
15-Oxo-beta-bilirubin	C20667
"(E,E)-Geranyllinalool"	C20681
(20S)-Protopanaxadiol	C20715
Mycothiol S-conjugate	C20732
5-Methyl-1-naphthoate	C20803
(+)-alpha-Longipinene	C20804
N5-Phenyl-L-glutamine	C20843
gamma-Glutamylanilide	C20843
"D-Glucaro-1,5-lactone"	C20890
Chondroitin sulfate E	C20907
Chondroitin sulfate B	C20908
Uridine 5'-diphosphate	C00015
Pyridoxal 5'-phosphate	C00018
Adenosine 5'-phosphate	C00020
S-Adenosylhomocysteine	C00021
(Deoxyribonucleotide)n	C00039
(Deoxyribonucleotide)m	C00039
Riboflavin-5-phosphate	C00061
D-Fructose 6-phosphate	C00085
Glycerophosphoric acid	C00093
D-Glycerol 1-phosphate	C00093
"2,6-Dichloroindophenol"	C00102
Inosine 5'-diphosphate	C00104
alpha-Ketobutyric acid	C00109
trans-Butenedioic acid	C00122
N-Acetyl-D-glucosamine	C00140
Guanosine 5'-phosphate	C00144
2-Aminosuccinamic acid	C00152
5'-Methylthioadenosine	C00170
Benzenecarboxylic acid	C00180
Adenosylcob(III)alamin	C00194
Deoxyadenosylcobalamin	C00194
D-Ribulose 5-phosphate	C00199
Phenazine methosulfate	C00200
D-2-Aminoglutaric acid	C00217
4-Hydroxycinnamoyl-CoA	C00223
[Acyl-carrier protein]	C00229
D-Xylulose 5-phosphate	C00231
Succinate semialdehyde	C00232
Monoprenyl diphosphate	C00235
"CDP-1,2-diacylglycerol"	C00269
2-Aminoglutaramic acid	C00303
3-(Indol-3-yl)pyruvate	C00331
Acetoacetyl coenzyme A	C00332
"(S)-4,5-Dihydroorotate"	C00337
Ethanolamine phosphate	C00346
Long-chain carboxylate	C00347
Thymidine 5'-phosphate	C00364
3-(2-Aminoethyl)indole	C00398
Farnesyl pyrophosphate	C00448
D-threo-Isocitric acid	C00451
Nucleoside diphosphate	C00454
Methylenesuccinic acid	C00490
Inorganic triphosphate	C00536
L-Glycerol 1-phosphate	C00623
Pyridoxine 5-phosphate	C00627
Pyridoxol 5'-phosphate	C00627
Chondroitin 4'-sulfate	C00634
Chondroitin 6'-sulfate	C00635
(3S)-3-Hydroxyacyl-CoA	C00640
"1,2-Diacyl-sn-glycerol"	C00641
4-Hydroxyphenylacetate	C00642
5-Hydroxy-L-tryptophan	C00643
D-Mannitol 1-phosphate	C00644
N-Acetyl-D-mannosamine	C00645
Pyridoxamine phosphate	C00647
(Ribitol phosphate)n+1	C00653
"LL-2,6-Diaminopimelate"	C00666
gamma-Glutamylcysteine	C00669
(2S)-Methylmalonyl-CoA	C00683
(9Z)-Octadecenoic acid	C00712
2-Amino-4-oxopteridine	C00715
"N,N,N-Trimethylglycine"	C00719
"(1,4-beta-D-Glucosyl)n"	C00760
1-Methylglycocyamidine	C00791
4-Hydroxycinnamic acid	C00811
2-Oxooctadecanoic acid	C00869
Oxidized coenzyme F420	C00876
alpha-Ketocaproic acid	C00902
1-Azetidineacetic acid	C00927
Adenosine 2'-phosphate	C00946
3-Mercaptopyruvic acid	C00957
"(1,3-beta-D-Glucosyl)n"	C00965
4-Hydroxybutanoic acid	C00989
L-Gulono-gamma-lactone	C01040
Thiamine monophosphate	C01081
"alpha,alpha'-Trehalose"	C01083
(3R)-3-Hydroxyacyl-CoA	C01086
(R)-2-Hydroxyglutarate	C01087
"(R)-3,3-Dimethylmalate"	C01088
(R)-3-Hydroxybutanoate	C01089
16alpha-Hydroxysteroid	C01090
17-O-Deacetylvindoline	C01091
8-Amino-7-oxononanoate	C01092
"Cellobiono-1,5-lactone"	C01093
"Cellobiose-1,5-lactone"	C01093
D-Fructose 1-phosphate	C01094
D-Ribose 5-diphosphate	C01095
D-Sorbitol 6-phosphate	C01096
D-Glucitol 6-phosphate	C01096
D-Tagatose 6-phosphate	C01097
L-Fuculose 1-phosphate	C01099
L-Histidinol phosphate	C01100
L-Ribulose 5-phosphate	C01101
O-Phospho-L-homoserine	C01102
Orotidine 5'-phosphate	C01103
Trimethylamine N-oxide	C01104
2-Hydroxycyclohexanone	C01147
1-Galloyl-beta-glucose	C01158
D-3-Amino-isobutanoate	C01205
Dehydroepiandrosterone	C01227
Dehydroisoandrosterone	C01227
4-Carboxymuconolactone	C01278
Adenosine 3'-phosphate	C01367
Glutamyl-glutamic acid	C01425
Toluenecarboxylic acid	C01454
Apigenin 8-C-glucoside	C01460
Dihydroxyanthraquinone	C01474
2-Furancarboxylic acid	C01546
trans-Dihydroquercetin	C01617
(9E)-Octadecenoic acid	C01712
Apigenin-6-C-glucoside	C01714
Apigenin 6-C-glucoside	C01714
"7,8-Dimethylalloxazine"	C01727
"(1R,2S,4R)-(+)-Borneol"	C01765
"(1S,2R,4S)-(-)-Borneol"	C01766
L-2-Aminohexanoic acid	C01933
4-Hydroxyalkanoic acid	C01991
H-Protein-lipoyllysine	C02051
D-2-Aminobutanoic acid	C02261
2-Deoxy-D-ribosyl-base	C02269
2'-Deoxyribonucleoside	C02269
L-Glutaminyl-tRNA(Gln)	C02282
beta-6-Deoxy-L-mannose	C02338
Phosphomannan backbone	C02347
3-Phenyl-2-propen-1-ol	C02394
"p-Mentha-1,8-dien-7-ol"	C02452
alpha-Phenylethylamine	C02455
Trimetaphosphoric acid	C02466
alpha-L-Mannomethylose	C02476
alpha-L-Rhamnopyranose	C02476
(2S)-2-Isopropylmalate	C02504
2-(2-Aminoethyl)indole	C02548
2-Thiopheneacetic acid	C02595
o-Methylbenzyl cyanide	C02596
(R)-2-Methylmalic acid	C02612
(S)-2-Methylmalic acid	C02614
alpha-Hydroxyglutarate	C02630
2-Methylpropanoic acid	C02632
6-Methylsalicylic acid	C02657
"2,3-Dihydrobiochanin A"	C02675
L-1-Phosphatidylserine	C02737
N-2-Fluorenylacetamide	C02778
2-Methyl-1-propanamine	C02787
"1,2-Diketoacenaphthene"	C02807
Hydrocortisone acetate	C02821
N-Phospho-D-lombricine	C02855
L-Cysteine-S-conjugate	C02882
"(-)-3,8-p-Menthanediol"	C02904
2'-Hydroxyformononetin	C02920
(E)-Caffeoylisocitrate	C02927
Indol-3-ylacetonitrile	C02938
(3Z)-Dodec-3-enoyl-CoA	C02944
1-Hydroxyanthraquinone	C02980
N-Methyl-L-tryptophane	C02983
"L-Rhamnono-1,4-lactone"	C02991
N-Acetylarylalkylamine	C02998
O-beta-D-Glucuronoside	C03033
L-4-Aspartyl phosphate	C03082
Guanidinosuccinic acid	C03139
Taurocyamine phosphate	C03149
Oxidized trypanothione	C03170
(+)-Bornyl-diphosphate	C03190
(+)-Bornyl diphosphate	C03190
(5-L-Glutamyl)-peptide	C03193
(R)-1-Aminopropan-2-ol	C03194
(R)-1-Amino-2-propanol	C03194
(R)-10-Hydroxystearate	C03195
(S)-2-Hydroxyglutarate	C03196
(S)-3-Hydroxybutanoate	C03197
(S)-4-Hydroxymandelate	C03198
"1,2-Didecanoylglycerol"	C03199
"1,3-beta-D-Oligoglucan"	C03200
1-Alkyl-2-acylglycerol	C03201
1-Hydroxy-2-naphthoate	C03203
10-Formyldihydrofolate	C03204
11-Deoxycorticosterone	C03205
12-Dehydrotetracycline	C03206
16-Dehydroprogesterone	C03207
"2,2'-Dihydroxybiphenyl"	C03209
"2,2'-Iminodipropanoate"	C03210
"2,4-Dihydroxypteridine"	C03212
2-Amino-3-oxobutanoate	C03214
2-Carboxy-D-arabinitol	C03215
2-Hydroxy-3-oxoadipate	C03217
2-Methylaminoadenosine	C03218
"2-cis,6-trans-Farnesol"	C03220
2-trans-Dodecenoyl-CoA	C03221
(2E)-Dodec-2-enoyl-CoA	C03221
"3,4-Dihydroxyphthalate"	C03223
"3,5-Dibromo-L-tyrosine"	C03224
"3,5-Dinitro-L-tyrosine"	C03225
3-Demethylubiquinone-9	C03226
3-Hydroxy-L-kynurenine	C03227
3-Hydroxycyclohexanone	C03228
3-Indoleglycolaldehyde	C03230
3-Methylglutaconyl-CoA	C03231
3-Phosphonooxypyruvate	C03232
"4,5-Dihydroxyphthalate"	C03233
4-Hydroxypheoxyacetate	C03235
5'-Phosphodinucleotide	C03236
5-Hydroxypentanoyl-CoA	C03237
5alpha-Cholestan-3-one	C03238
6-Amino-2-oxohexanoate	C03239
6-Deoxyerythronolide B	C03240
6-Hydroxyhexan-6-olide	C03241
"8,11,14-Icosatrienoate"	C03242
"9,10-Phenanthroquinone"	C03243
"9,10-Phenanthrenedione"	C03243
ADP-D-ribosyl-acceptor	C03245
ADPribose 2'-phosphate	C03246
Acetylenedicarboxylate	C03248
Aldohexose 6-phosphate	C03251
Aryl dialkyl phosphate	C03254
Cetraxate benzyl ester	C03256
Coagulation Factor IXa	C03259
Coagulation Factor VII	C03260
Coproporphyrinogen III	C03263
D-2-Hydroxyisocaproate	C03264
D-Mannosylglycoprotein	C03268
Glycoprotein D-mannose	C03268
D-galacto-Hexodialdose	C03269
Glutarate semialdehyde	C03273
Glycerophosphoglycerol	C03274
Imidazol-5-yl-pyruvate	C03277
Imidazole pyruvic acid	C03277
Inosine-5'-carboxylate	C03280
Kanamycin 3'-phosphate	C03281
"L-2,4-Diaminobutanoate"	C03283
L-3-Amino-isobutanoate	C03284
L-Glutamyl 5-phosphate	C03287
L-xylo-Hexulonolactone	C03289
L-threo-3-Phenylserine	C03290
L-Xylulose 5-phosphate	C03291
Mercaptoacetyl-Phe-Leu	C03292
N-Adenylylanthranilate	C03293
N-Formylmethionyl-tRNA	C03294
N2-Succinyl-L-arginine	C03296
3-N-Acetylgentamicin C	C03297
N3'-Acetylgentamicin C	C03297
Nalpha-Methylhistidine	C03298
O-Decanoyl-L-carnitine	C03299
O-beta-D-Xylosylzeatin	C03300
O-beta-D-Xyloxylzeatin	C03300
Oxidized putidaredoxin	C03302
Peptidylamidoglycolate	C03303
Prolyl-2-naphthylamide	C03305
Protein L-isoaspartate	C03306
Strictosidine aglycone	C03309
Thien-2-ylacetonitrile	C03311
Urate D-ribonucleotide	C03312
Xanthine-8-carboxylate	C03314
[Dinitrogen reductase]	C03315
alpha-Amino acid ester	C03317
dTDP-6-deoxy-L-mannose	C03319
17alpha-Hydroxysteroid	C03336
2-Ethylhexyl phthalate	C03343
Acyl-protein thioester	C03371
S-D-Lactoylglutathione	C03451
2-Oxo-3-methylvalerate	C03465
L-2-Amino-acetoacetate	C03508
Glycolyl-D-mannosamine	C03521
2-Aminoisobutyric acid	C03665
4-Hydroxyphenyllactate	C03672
p-Hydroxyphenyllactate	C03672
4-Chlorobenzyl cyanide	C03679
Luteolin 7-O-glucoside	C03951
Diethyl oxalpropionate	C04067
N-Pantothenoylcysteine	C04079
rRNA(N6-methyladenine)	C04154
Oligosaccharide-PP-Dol	C04213
Difructose anhydride I	C04333
(6E)-8-Hydroxylinalool	C04433
Cellobiose 6-phosphate	C04534
Buthionine sulfoximine	C04543
Apigenin 7-O-glucoside	C04608
Dimethyl methylmaleate	C05126
Imidazole acetaldehyde	C05130
3-Aminoisobutyric acid	C05145
(S)-N-Methylcoclaurine	C05176
Flavodoxin semiquinone	C05199
(R)-N-Methylcoclaurine	C05243
3-Oxotetradecanoyl-CoA	C05261
(2E)-Tetradecenoyl-CoA	C05273
19-Hydroxytestosterone	C05294
16alpha-Hydroxyestrone	C05300
Uridylyl-[protein-PII]	C05326
beta-Alanyl-L-arginine	C05340
(R)-4-Hydroxymandelate	C05343
L-Dehydroascorbic acid	C05422
all-trans-Neurosporene	C05431
Taurochenodeoxycholate	C05465
Glycochenodeoxycholate	C05466
Chenodeoxyglycocholate	C05466
21-Hydroxypregnenolone	C05485
16-Glucuronide-estriol	C05504
Urate-3-ribonucleoside	C05513
Aminoacyl-L-methionine	C05524
N6-D-Biotinyl-L-lysine	C05552
Hydantoin-5-propionate	C05565
"3,4-Dihydroxymandelate"	C05580
Dihydroxymandelic acid	C05580
3-Hydroxyphenylacetate	C05593
Quercetin 3-rutinoside	C05625
3-Phenylpropanoic acid	C05629
3-Phenylpropionic acid	C05629
5-Hydroxyindoleacetate	C05635
"4,8-Dihydroxyquinoline"	C05637
"4,6-Dihydroxyquinoline"	C05639
3-Methylindolepyruvate	C05644
5-Hydroxy-L-kynurenine	C05651
6-Hydroxyindolelactate	C05657
5-Methoxyindoleacetate	C05660
3-Hydroxypropionyl-CoA	C05668
3-Hydroxypropanoyl-CoA	C05668
3-Aminopropiononitrile	C05670
O-Phosphorylhomoserine	C05702
N-Hydroxy-L-amino acid	C05710
Reduced methylene blue	C05721
Poly-gamma-D-glutamate	C05723
L-Cysteine S-conjugate	C05726
Glutathionylspermidine	C05730
L-Glutamyl 1-phosphate	C05765
2-Amino-5-oxohexanoate	C05825
Methylimidazoleacetate	C05828
N-Carbamyl-L-glutamate	C05829
cis-2-Hydroxycinnamate	C05838
Polyprenyl diphosphate	C05847
"2,3-Epoxyphylloquinone"	C05849
"Vitamin K1 2,3-epoxide"	C05849
Vitamin K hydroquinone	C05850
2-Hydroxyphenylacetate	C05852
(3Z)-Phycoerythrobilin	C05912
3-Dehydroretinaldehyde	C05918
trans-3-Dehydroretinal	C05918
N-Succinyl-L-glutamate	C05931
12-Keto-leukotriene B4	C05949
20-COOH-Leukotriene B4	C05950
Diphosphatidylglycerol	C05980
2-Hydroxybutanoic acid	C05984
dTDP-N-acetylviosamine	C06018
L-threo-3-Methylmalate	C06029
D-threo-3-Methylmalate	C06031
"(2R,3S)-3-Methylmalate"	C06032
4-Hydroxyphenylethanol	C06044
Gibberellin A44 diacid	C06095
6-Hydroxyhexanoic acid	C06103
"Cyclic glycerate-2,3P2"	C06189
Guanosine 3'-phosphate	C06193
Fe(III)hydroxamic acid	C06227
D-Ribose 1-diphosphate	C06248
alpha-Ketovaleric acid	C06255
Galactitol 1-phosphate	C06311
L-Tagatose 6-phosphate	C06312
2-Quinolinecarboxylate	C06325
"3,4-Dihydroxyquinoline"	C06330
3-Methyl-quinolin-2-ol	C06345
(+)-Demethylcoclaurine	C06347
Tetrahydropapaveroline	C06350
"(R,S)-Norlaudanosoline"	C06350
L-Xylulose 1-phosphate	C06441
2-Keto-D-gluconic acid	C06473
"1,5-Anhydro-D-fructose"	C06485
Cob(II)yrinate diamide	C06504
"Cobyrinate a,c-diamide"	C06504
Adenosylcobinamide-GDP	C06510
"2,3-Dihydroxy-p-cumate"	C06580
"1,2,4-Trichlorobenzene"	C06594
Diethylphosphoric acid	C06608
Dihydroclavaminic acid	C06659
Clavulanate-9-aldehyde	C06661
14'-apo-beta-Carotenal	C06734
4-Methylbenzyl alcohol	C06757
alpha-Hydroxy-p-xylene	C06757
7-Hydroxylpradimicin A	C06782
Dexylosylbenanomicin A	C06787
"cis-1,2-Dichloroethene"	C06792
4-Chlorophenoxyacetate	C07088
8-L-Lysine vasopressin	C07105
2-Methylbenzyl alcohol	C07213
3-Methylbenzyl alcohol	C07216
6-Methylhept-5-en-2-ol	C07288
6-Methyl-5-hepten-2-ol	C07288
Glutaredoxin disulfide	C07293
"1,5-Anhydro-D-glucitol"	C07326
"1,5-Anhydro-D-sorbitol"	C07326
2-Hydroxyphytanoyl-CoA	C07343
"2,2,2-Trichloroethanol"	C07490
Trisaziridinyltriazine	C07642
4-Ketocyclophosphamide	C07644
Isosorbide mononitrate	C07714
"2,2'-Methylenebiphenyl"	C07715
4-Hydroxy-9-fluorenone	C07723
Disopyramide phosphate	C07740
Ketamine hydrochloride	C07843
Procaine hydrochloride	C07894
Botulinum toxin type A	C07946
Fluphenazine enanthate	C07955
Fluphenazine decanoate	C07956
Cephalexin monohydrate	C08099
Loracarbef monohydrate	C08109
Norethisterone acetate	C08152
Testosterone cypionate	C08156
Testosterone enanthate	C08157
Acetylcholine chloride	C08201
3-Methylthiopropionate	C08276
(+)-Norpseudoephedrine	C08300
"N,N-Dimethyltryptamine"	C08302
alpha-Eleostearic acid	C08315
cis-13-Docosenoic acid	C08316
8-Hydroxylinoleic acid	C08318
beta-D-Glucuronic acid	C08350
(9Z)-Hexadecenoic acid	C08362
(6Z)-Octadecenoic acid	C08363
Methyl allyl disulfide	C08383
Allyl methyl disulfide	C08383
3-Butenylglucosinolate	C08415
Clitidine 5'-phosphate	C08429
Cyanidin 3-O-glucoside	C08604
Zeaxanthin dipalmitate	C08609
all-trans-Violaxanthin	C08614
14-Deacetylnudicauline	C08673
11-Deoxocucurbitacin I	C08807
Butyrylmallotochromene	C08997
1-Acetylaspidoalbidine	C09019
Synaptolepis factor K1	C09192
alpha-Cyclocostunolide	C09383
(-)-beta-Caryophyllene	C09629
"6,8-Diprenylnaringenin"	C09724
cis-trans-Nepetalactol	C09804
"5,7-Dihydroxyflavanone"	C09827
Apigenin dimethylether	C10019
5-O-Methylbellidifolin	C10091
Luteolin 8-C-glucoside	C10114
Daidzein 7-O-glucoside	C10216
"3,4'-Ethylenebisphenol"	C10269
3'-Demethoxypiplartine	C10444
trans-Methylisoeugenol	C10478
4'-Hydroxyacetophenone	C10700
"3,4,5-Trimethoxyphenol"	C10765
5-Pentadecylresorcinol	C10809
Activated methyl group	C10905
Chlorpromazine N-oxide	C10966
Haloxyfop methyl ester	C11031
Fenothiocarb sulfoxide	C11085
5-Methyl-2-furaldehyde	C11115
1-Methylparabanic acid	C11116
3-Hydroxyindolin-2-one	C11130
Methylmercury chloride	C11146
Tetraphenylphosphonium	C11152
Sodium dodecyl sulfate	C11166
Isometamidium chloride	C11201
Hexadimethrine bromide	C11205
"1,3-Diamino-2-thiourea"	C11214
Bacterio-chlorophyll c	C11244
Bacterio-chlorophyll d	C11244
Bacterio-chlorophyll e	C11244
"3-Amino-1,2,4-triazole"	C11261
"2-Amino-1,3,4-triazole"	C11261
Virginiamycin factor S	C11269
3-Chlorosalicylanilide	C11290
Sulfoglycolithocholate	C11301
Salicylhydroxamic acid	C11343
N-Acetylleukotriene E4	C11361
Irinotecan carboxylate	C11365
SN-38 carboxylate form	C11366
Globotetraosylceramide	C11385
"(1R,4R)-Dihydrocarvone"	C11398
"(1S,4S)-Dihydrocarvone"	C11415
"Phenanthrene-1,2-oxide"	C11431
DNA containing guanine	C11475
tRNA containing nm5s2U	C11478
N-Ethylphenylacetamide	C11487
"2,4.6-Trichloroanisole"	C11510
N-Cyclohexylisocyanide	C11520
4-Hydroxymandelic acid	C11527
"8-(1,1-DMA)kaempferide"	C11580
1-Naphthyl glucuronide	C11586
Polyneuridine aldehyde	C11632
Pentaacetyl geniposide	C11639
8-Epideoxyloganic acid	C11649
Succinyl sulfathiazole	C11745
Propantheline chloride	C11762
6-O-Monoacetylmorphine	C11781
17-O-Acetylnorajmaline	C11809
Kaur-16-en-18-oic acid	C11874
ent-Kaur-16-en-19-oate	C11874
"Taxa-4(5),11(12)-diene"	C11894
4'-Acetylmegalomycin A	C11986
L-Olivosyl-oleandolide	C11991
Resorcinol monoacetate	C12064
p-Hydroxybenzalacetone	C12088
Malvidin 3-O-glucoside	C12140
Peonidin 3-O-glucoside	C12141
4-D-Hydroxysphinganine	C12144
N-Demethylgalanthamine	C12173
(+/-)-Bocconarborine A	C12196
(+/-)-Bocconarborine B	C12197
UDP-alpha-D-kanosamine	C12211
Kanosamine 6-phosphate	C12213
Iron cyanide (Fe(CN)3)	C12217
Iron cyanide (Fe(CN)2)	C12218
2-Iodo-6-methoxyphenol	C12251
N-Arachidonyl dopamine	C12271
alpha-Terpinyl acetate	C12300
gamma-Terpinyl acetate	C12302
12-Deoxyaklanonic acid	C12420
13-Dihydrodaunorubicin	C12430
13-Dihydrocarminomycin	C12431
13-Dihydrodaunorubicin	C12433
Descarbamoylnovobiocin	C12476
Cefepime hydrochloride	C12557
2''-O-Rhamnosylvitexin	C12628
Vitexin 2''-rhamnoside	C12628
Monodemalonylsalvianin	C12641
Dinoprost tromethamine	C12786
Dimetacrine bitartrate	C12959
Acetylsulfamethoxazole	C13061
Estradiol dipropionate	C13077
Atropine methylbromide	C13109
Sultamicillin tosilate	C13129
Sultamicillin tosylate	C13129
Benexate hydrochloride	C13182
p-Hydroxypropiophenone	C13342
Sodium equilin sulfate	C13416
Nitro blue tetrazolium	C13503
3-Monobromobisphenol A	C13623
Glucagon hydrochloride	C13651
2-Arachidonoylglycerol	C13856
1-Arachidonoylglycerol	C13857
Triacyl lipid A OM-174	C13907
2-Methoxyhexadecanoate	C13947
16-Fluoropalmitic acid	C13948
Carbenicillin disodium	C13967
Piperacillin anhydrous	C14034
C25-Epoxy-apo-aldehyde	C14045
"29H,31H-Phthalocyanine"	C14077
3-Formylsalicylic acid	C14096
beta-Methylnaphthalene	C14098
4-Formylsalicylic acid	C14100
5-Carboxypentanoyl-CoA	C14143
N-Phospho-L-lombricine	C14178
m-Benzenedisulfonamide	C14182
Compactin diol lactone	C14183
4-Chloro-4'-biphenylol	C14195
Bis(n-octyl) phthalate	C14227
"4,4'-Dihydroxystilbene"	C14233
"2-Ethyl-1,3-hexanediol"	C14271
"1,1,2-Triphenylpropane"	C14278
"4,4'-Dihydroxybiphenyl"	C14297
"4,4'-Dihydroxybibenzyl"	C14341
Bisphenol A ethoxylate	C14347
"1,2,3-Trichloropropane"	C14400
"1,2,3-Trichlorobenzene"	C14408
"3,3'-Dimethylbenzidine"	C14443
"Tetrahydro-1,4-oxazine"	C14452
"1,3,5-Trimethylbenzene"	C14508
"1,2,3-Trimethylbenzene"	C14518
Tetrachlorobisphenol A	C14528
Dicyclohexyl phthalate	C14529
"1,2,4-Trimethylbenzene"	C14533
(R)-5-Deoxyindenestrol	C14543
(S)-5-Deoxyindenestrol	C14544
Triphenylhydroxysilane	C14549
11-Ketoetiocholanolone	C14552
N-Methyl-N-nitrosourea	C14595
Triphenylcyanoethylene	C14599
Testosterone decanoate	C14607
14-Hydroxytestosterone	C14627
11-Dehydroprogesterone	C14646
Tetraethylenepentamine	C14690
p-Hydroxyheptylbenzene	C14698
N-Nitrosodimethylamine	C14704
1-Hydroxymethylpropane	C14710
Rifamycin W-hemiacetal	C14722
N-Nitrosodiphenylamine	C14742
"4,4'-Oxybisbenzenamine"	C14759
2-Thiophenesulfonamide	C14764
"Bromobenzene-3,4-oxide"	C14839
"Bromobenzene-2,3-oxide"	C14840
2'-Chloro-4-biphenylol	C15202
Estriol 3-methyl ether	C15216
Tributylchlorostannane	C15224
17beta-Acetylestradiol	C15228
Antimony(III) chloride	C15235
6alpha-Hydroxycortisol	C15291
Cortisone 21-succinate	C15429
cis-Zeatin-O-glucoside	C15546
myo-Inositol phosphate	C15585
"3,4-Dihydro-2H-pyrrole"	C15668
5alpha-Campestan-3-one	C15786
p-Hydroxyphenyl lignin	C15804
Hydroxyspirilloxanthin	C15879
